Station,Cast ,Niskin,Depth_DCM
G115,24,18,1.110
G201,28,18,1.513
G204,33,18,1.144
G207,39,18,1.395
G300,48,19,1.561
G309,57,18,1.395
G312,65,18,1.343
G324,80,18,1.07
G413,107,18,0.998
G418,110,18,1.221
G507,124,18,2.053
G512,134,18,1.108
G605,155,18,1.161
G615,159,18,1.955
G703,115,18,1.388
G707,183,18,1.322
G713,192,18,1.753
G719,201,18,0.953
G115,24,7 ou 8A,30.426
G201,28,10 ou 11A,40.053
G204,33,12 ou 13A,14.877
G207,39,13 ou 14A,14.952
G300,48,10,44.483
G309,57,11 ou 12A,15.295
G312,65,13 ou 14A,15.219
G324,80,11,19.776
G413,107,7,30.231
G418,110,8,29.617
G507,124,13,12.111
G512,134,11,15.019
G605,155,12,20.256
G615,159,11,30.06
G703,175,9,35.053
G707,183,10,35.475
G713,192,12,20.216
G719,201,10,21.401
,,,
